"student_id","gender","first_name","last_name","date_of_birth"
"sprs_508207_student_452","f","kason","quinn","1983-05-25"
"sprs_508207_student_905","m","ulises","mcfarland","1977-08-06"
"sprs_508207_student_521","m","alec","lloyd","1966-08-04"
"sprs_508207_student_038","f","anika","estes","2002-09-20"
"sprs_508207_student_066","m","ruby","anthony","1982-10-14"
"sprs_508207_student_324","m","addisyn","cotton","2012-08-27"
"sprs_508207_student_937","m","norah","alvarado","1987-03-14"
"sprs_508207_student_554","m","raquel","durham","1956-04-11"
"sprs_508207_student_496","f","alexandria","chavez","1976-10-31"
"sprs_508207_student_872","f","leilani","sharpe","1966-11-24"
"sprs_508207_student_525","f","tyler","small","1978-02-11"
"sprs_508207_student_209","f","norah","harding","1956-10-03"
"sprs_508207_student_102","m","grant","snyder","1969-11-22"
"sprs_508207_student_412","f","alejandro","christensen","1924-05-25"
"sprs_508207_student_899","m","sherlyn","fry","1931-08-09"
"sprs_508207_student_479","f","heath","sweet","1937-02-09"
"sprs_508207_student_259","f","jaylin","foster","2002-04-27"
"sprs_508207_student_974","m","lucille","mccullough","1909-07-21"
"sprs_508207_student_678","m","adan","robbins","1951-01-18"
"sprs_508207_student_580","m","lesly","christensen","2013-12-27"
"sprs_508207_student_873","m","jasper","carver","1948-12-03"
"sprs_508207_student_325","m","kyra","emerson","2010-10-25"
"sprs_508207_student_794","f","tristian","martinez","1902-11-28"
"sprs_508207_student_847","f","mark","gill","1937-05-13"
"sprs_508207_student_854","f","ashtyn","richmond","1959-10-25"
"sprs_508207_student_709","m","clark","reeves","1971-03-09"
"sprs_508207_student_070","m","natalya","vang","1904-05-26"
"sprs_508207_student_593","f","randy","dudley","1916-07-14"
"sprs_508207_student_397","f","spencer","simpson","1986-12-14"
"sprs_508207_student_389","f","elijah","donovan","1912-07-27"
"sprs_508207_student_065","m","rebekah","little","2005-10-14"
"sprs_508207_student_919","m","camryn","rich","1933-06-28"
"sprs_508207_student_862","m","joyce","thompson","1924-01-15"
"sprs_508207_student_820","f","kellen","brennan","2005-05-07"
